id,ra,dec,f606w
8665,265.181398,-53.675313,17.4252 
8666,265.181076,-53.675607,26.3052 
8668,265.18302,-53.675217,19.5198 
8669,265.182968,-53.67597,20.6658 
8670,265.182515,-53.676072,21.4655 
8671,265.182447,-53.675592,23.0168 
8672,265.182348,-53.67643,19.9012 
8673,265.182158,-53.675936,22.2169 
8674,265.182056,-53.676059,20.5987 
8675,265.181898,-53.675242,20.0292 
8676,265.181744,-53.675673,21.6656 
8677,265.181545,-53.675817,19.4777 
8678,265.181462,-53.675587,20.284 
8679,265.181454,-53.675262,19.3996 
8680,265.181286,-53.675563,19.7645 
8681,265.181159,-53.675745,19.4793 
8683,265.181087,-53.67531,19.2078 
8712,265.180847,-53.675736,18.2119 
8713,265.180543,-53.675559,19.5668 
8714,265.180207,-53.675824,18.394 
8715,265.180178,-53.67627,16.9261 
8716,265.180012,-53.676219,17.1704 
8717,265.180022,-53.676131,18.0591 
8718,265.179785,-53.67515,17.9269 
8719,265.179494,-53.676302,19.3889 
8720,265.179395,-53.676435,18.4874 
8721,265.17932,-53.675486,17.8793 
8722,265.179241,-53.676264,19.0097 
8723,265.179214,-53.675618,17.5678 
8724,265.178865,-53.676146,17.4918 
8725,265.180263,-53.676317,19.543 
8727,265.179741,-53.675314,23.742 
8728,265.178569,-53.675925,18.8151 
8729,265.178426,-53.675777,18.6875 
8730,265.178158,-53.675146,19.3442 
8731,265.17798,-53.675154,18.8502 
8732,265.177643,-53.675738,17.2846 
8733,265.177545,-53.675401,17.2392 
8734,265.177412,-53.6758,18.9465 
8735,265.177358,-53.675394,19.3111 
8736,265.177247,-53.676402,17.087 
8737,265.177176,-53.675822,18.0947 
8738,265.177131,-53.675747,17.4127 
8739,265.176962,-53.676136,18.1291 
8740,265.176744,-53.675242,17.7075 
8741,265.176699,-53.675891,18.0732 
8742,265.176638,-53.676006,17.8296 
8743,265.178507,-53.675785,19.9305 
8745,265.178206,-53.675556,21.6821 
8746,265.178195,-53.6759,19.8103 
8748,265.177599,-53.675443,18.654 
8749,265.177481,-53.675934,21.558 
8763,265.174357,-53.676324,18.4692 
8764,265.174273,-53.675483,18.0605 
8765,265.174268,-53.675742,18.0614 
8766,265.174246,-53.675584,17.7177 
8767,265.174134,-53.676099,18.2649 
8768,265.173628,-53.676375,17.6763 
8769,265.173615,-53.675397,17.9614 
8770,265.172945,-53.675834,17.9868 
8771,265.172857,-53.675687,18.2549 
8772,265.172787,-53.675929,18.0165 
8773,265.172689,-53.675515,18.2781 
8774,265.172676,-53.675778,18.1061 
8775,265.174273,-53.675993,22.9435 
8776,265.174246,-53.675325,17.6888 
8777,265.174013,-53.675536,19.9835 
8780,265.172691,-53.675429,20.258 
8781,265.172637,-53.676385,17.2148 
8782,265.172597,-53.675938,18.8875 
8783,265.172488,-53.675525,17.4209 
8784,265.172434,-53.676438,20.6509 
8785,265.172234,-53.676449,23.0901 
8786,265.172236,-53.675928,20.3117 
8787,265.172666,-53.676353,18.1187 
8788,265.172396,-53.675487,23.352 
8805,265.176571,-53.675274,17.6041 
8806,265.176499,-53.675832,17.9567 
8807,265.176476,-53.676409,16.9077 
8808,265.176409,-53.676066,18.5529 
8809,265.176364,-53.676015,18.4555 
8810,265.176167,-53.67549,19.3411 
8811,265.176085,-53.67641,17.8723 
8812,265.176046,-53.675962,17.9073 
8813,265.175971,-53.675218,17.3088 
8814,265.175945,-53.676013,18.2788 
8815,265.175825,-53.675802,17.8727 
8816,265.17582,-53.676102,17.1704 
8817,265.175644,-53.675642,17.6283 
8818,265.175432,-53.675611,18.3764 
8819,265.175198,-53.675636,17.0635 
8820,265.175097,-53.675225,18.6789 
8821,265.174619,-53.675525,17.0405 
8822,265.176529,-53.675286,19.8935 
8824,265.176123,-53.67619,20.2815 
8825,265.175676,-53.675583,19.3098 
8826,265.175493,-53.67533,24.5744 
8827,265.175296,-53.676237,19.3704 
8828,265.175231,-53.676131,20.3394 
8829,265.175181,-53.67593,22.0588 
8833,265.184787,-53.675394,18.2488 
8834,265.184281,-53.676285,17.4148 
8835,265.184038,-53.675978,18.0834 
8836,265.183785,-53.675157,17.6447 
8837,265.183525,-53.675749,17.1024 
8838,265.183324,-53.675912,18.6254 
8840,265.184935,-53.675723,21.1048 
8841,265.184422,-53.675542,19.5722 
8842,265.183721,-53.676277,22.0517 
8844,265.172063,-53.675956,18.8401 
8845,265.171817,-53.676029,17.4348 
8846,265.171665,-53.675829,16.8824 
8848,265.171235,-53.675964,17.9094 
8850,265.172102,-53.675348,19.3434 
8851,265.171912,-53.675628,19.066 
8853,265.171706,-53.675669,18.8757 
8854,265.171583,-53.675726,16.9981 
8855,265.171456,-53.675815,19.2442 
8856,265.171451,-53.675919,21.367 
8857,265.171074,-53.675483,21.3728 
8865,265.170461,-53.675496,21.9933 
8868,265.171821,-53.675559,22.1345 
8870,265.170722,-53.675246,24.1045 
9079,265.18621,-53.674958,19.0933 
9080,265.185932,-53.674143,18.6013 
9082,265.186541,-53.67431,19.3878 
9083,265.18625,-53.674648,20.751 
9084,265.186059,-53.674292,20.4027 
9085,265.185964,-53.673909,22.3262 
9086,265.185627,-53.674743,21.6082 
9204,265.185463,-53.674298,19.0369 
9205,265.184615,-53.673881,18.0589 
9206,265.18421,-53.674763,18.6669 
9207,265.183783,-53.674865,17.1888 
9208,265.185378,-53.674309,19.9429 
9209,265.185111,-53.674309,19.8267 
9210,265.184243,-53.674415,21.9861 
9211,265.183967,-53.674653,22.5704 
9212,265.183962,-53.674368,19.4349 
9213,265.183559,-53.67496,20.1802 
9214,265.185404,-53.674351,21.1714 
9221,265.169769,-53.674057,17.8185 
9223,265.169556,-53.674028,18.3215 
9224,265.169489,-53.674328,16.8607 
9227,265.168908,-53.674027,18.0641 
9230,265.169805,-53.674515,20.2321 
9231,265.169781,-53.674759,19.5425 
9233,265.169333,-53.674622,19.5549 
9234,265.169209,-53.674417,21.6663 
9244,265.180931,-53.675096,18.7831 
9245,265.180609,-53.67448,18.4551 
9246,265.18044,-53.674734,17.8573 
9247,265.180189,-53.674038,17.9938 
9248,265.180188,-53.67394,17.8676 
9249,265.180102,-53.674705,19.0482 
9250,265.179824,-53.674198,18.0092 
9251,265.179789,-53.674251,17.5732 
9252,265.17943,-53.674646,17.1684 
9253,265.179399,-53.674389,17.8881 
9254,265.179358,-53.674015,17.3324 
9255,265.179129,-53.674237,18.8236 
9256,265.179033,-53.674931,17.1047 
9257,265.178844,-53.674865,16.8415 
9258,265.180835,-53.674549,19.1932 
9259,265.180632,-53.675117,23.3921 
9261,265.180111,-53.674736,21.0645 
9262,265.179698,-53.674908,21.2546 
9263,265.179665,-53.674152,20.4555 
9264,265.179053,-53.674323,20.6191 
9265,265.178848,-53.673984,21.8063 
9267,265.182866,-53.674131,17.4629 
9268,265.182652,-53.67509,17.8464 
9269,265.182528,-53.674835,16.8285 
9270,265.182342,-53.675061,17.3785 
9271,265.182026,-53.673895,17.0657 
9272,265.181895,-53.675023,18.9497 
9273,265.18186,-53.674483,18.3215 
9274,265.181837,-53.67472,18.9524 
9275,265.181755,-53.675118,17.6566 
9276,265.181467,-53.674797,17.3719 
9277,265.181049,-53.674891,18.4884 
9278,265.183177,-53.6739,22.2445 
9279,265.182498,-53.67406,21.1003 
9280,265.182479,-53.674969,20.4893 
9281,265.182159,-53.67417,21.9191 
9282,265.182157,-53.674023,19.8099 
9283,265.182008,-53.674682,23.5127 
9284,265.181936,-53.674864,19.9539 
9285,265.181764,-53.674162,19.6019 
9286,265.18166,-53.673993,21.2238 
9287,265.181092,-53.674076,23.6288 
9290,265.171336,-53.674376,19.5159 
9291,265.171215,-53.673838,18.672 
9292,265.172143,-53.674986,18.9247 
9293,265.171992,-53.67384,19.1705 
9294,265.171905,-53.674077,20.7326 
9295,265.171878,-53.674515,21.9681 
9296,265.171866,-53.674829,18.905 
9297,265.171773,-53.675029,18.192 
9299,265.171658,-53.674343,18.9987 
9301,265.171202,-53.674277,20.1517 
9302,265.170978,-53.673983,20.8885 
9304,265.170794,-53.674991,22.5038 
9306,265.170481,-53.675018,21.4247 
9307,265.170374,-53.67428,22.1663 
9308,265.170296,-53.674036,19.6188 
9309,265.17029,-53.673875,20.2659 
9310,265.170108,-53.674692,20.1237 
9311,265.172102,-53.674878,25.2132 
9312,265.171318,-53.674369,20.9307 
9344,265.178731,-53.674053,17.6817 
9345,265.178677,-53.674479,19.2788 
9346,265.178669,-53.674215,17.2793 
9347,265.178655,-53.674794,17.5019 
9348,265.178301,-53.67404,16.9794 
9349,265.17812,-53.674534,17.2549 
9350,265.178095,-53.673999,16.9366 
